...1,ID,p_mmhr,name,datetime
1,1,0.00426385491232427,Pass 1,2021-05-31T17:00:00Z
2,2,0.0346576362393592,Pass 2,2021-05-31T17:00:00Z
3,3,0.0174803983290995,HighUnmulch,2021-05-31T17:00:00Z
4,4,7.71691692309559e-6,HighMulch,2021-05-31T17:00:00Z
5,5,0.0753071742488539,MiddleUnmulch,2021-05-31T17:00:00Z
6,6,0.53865839474846,MiddlePartialMulch,2021-05-31T17:00:00Z
7,7,0.282273184194411,MiddleMulch,2021-05-31T17:00:00Z
8,8,0.00930116388744807,MiddleUnburned,2021-05-31T17:00:00Z
9,9,0.0887955469463551,LowerUnmulch,2021-05-31T17:00:00Z
10,10,0.413066775041919,LowerPartialmulch,2021-05-31T17:00:00Z
11,11,0.281339011576473,LowerMulch,2021-05-31T17:00:00Z
1,1,0,Pass 1,2021-05-31T18:00:00Z
2,2,0,Pass 2,2021-05-31T18:00:00Z
3,3,0,HighUnmulch,2021-05-31T18:00:00Z
4,4,0,HighMulch,2021-05-31T18:00:00Z
5,5,0,MiddleUnmulch,2021-05-31T18:00:00Z
6,6,0,MiddlePartialMulch,2021-05-31T18:00:00Z
7,7,0,MiddleMulch,2021-05-31T18:00:00Z
8,8,0,MiddleUnburned,2021-05-31T18:00:00Z
9,9,0,LowerUnmulch,2021-05-31T18:00:00Z
10,10,0,LowerPartialmulch,2021-05-31T18:00:00Z
11,11,0,LowerMulch,2021-05-31T18:00:00Z
1,1,0,Pass 1,2021-05-31T19:00:00Z
2,2,0,Pass 2,2021-05-31T19:00:00Z
3,3,0,HighUnmulch,2021-05-31T19:00:00Z
4,4,0,HighMulch,2021-05-31T19:00:00Z
5,5,0,MiddleUnmulch,2021-05-31T19:00:00Z
6,6,0,MiddlePartialMulch,2021-05-31T19:00:00Z
7,7,0,MiddleMulch,2021-05-31T19:00:00Z
8,8,0,MiddleUnburned,2021-05-31T19:00:00Z
9,9,0,LowerUnmulch,2021-05-31T19:00:00Z
10,10,0,LowerPartialmulch,2021-05-31T19:00:00Z
11,11,0,LowerMulch,2021-05-31T19:00:00Z
1,1,0,Pass 1,2021-05-31T20:00:00Z
2,2,0,Pass 2,2021-05-31T20:00:00Z
3,3,0,HighUnmulch,2021-05-31T20:00:00Z
4,4,0,HighMulch,2021-05-31T20:00:00Z
5,5,0,MiddleUnmulch,2021-05-31T20:00:00Z
6,6,0,MiddlePartialMulch,2021-05-31T20:00:00Z
7,7,0,MiddleMulch,2021-05-31T20:00:00Z
8,8,0,MiddleUnburned,2021-05-31T20:00:00Z
9,9,0,LowerUnmulch,2021-05-31T20:00:00Z
10,10,0,LowerPartialmulch,2021-05-31T20:00:00Z
11,11,0,LowerMulch,2021-05-31T20:00:00Z
1,1,0,Pass 1,2021-05-31T21:00:00Z
2,2,0,Pass 2,2021-05-31T21:00:00Z
3,3,0,HighUnmulch,2021-05-31T21:00:00Z
4,4,0,HighMulch,2021-05-31T21:00:00Z
5,5,0,MiddleUnmulch,2021-05-31T21:00:00Z
6,6,0,MiddlePartialMulch,2021-05-31T21:00:00Z
7,7,0,MiddleMulch,2021-05-31T21:00:00Z
8,8,0,MiddleUnburned,2021-05-31T21:00:00Z
9,9,0,LowerUnmulch,2021-05-31T21:00:00Z
10,10,0,LowerPartialmulch,2021-05-31T21:00:00Z
11,11,0,LowerMulch,2021-05-31T21:00:00Z
1,1,0,Pass 1,2021-05-31T22:00:00Z
2,2,0,Pass 2,2021-05-31T22:00:00Z
3,3,0,HighUnmulch,2021-05-31T22:00:00Z
4,4,0,HighMulch,2021-05-31T22:00:00Z
5,5,0,MiddleUnmulch,2021-05-31T22:00:00Z
6,6,0,MiddlePartialMulch,2021-05-31T22:00:00Z
7,7,0,MiddleMulch,2021-05-31T22:00:00Z
8,8,0,MiddleUnburned,2021-05-31T22:00:00Z
9,9,0,LowerUnmulch,2021-05-31T22:00:00Z
10,10,0,LowerPartialmulch,2021-05-31T22:00:00Z
11,11,0,LowerMulch,2021-05-31T22:00:00Z
1,1,0,Pass 1,2021-05-31T23:00:00Z
2,2,0,Pass 2,2021-05-31T23:00:00Z
3,3,0,HighUnmulch,2021-05-31T23:00:00Z
4,4,0,HighMulch,2021-05-31T23:00:00Z
5,5,0,MiddleUnmulch,2021-05-31T23:00:00Z
6,6,0,MiddlePartialMulch,2021-05-31T23:00:00Z
7,7,0,MiddleMulch,2021-05-31T23:00:00Z
8,8,0,MiddleUnburned,2021-05-31T23:00:00Z
9,9,0,LowerUnmulch,2021-05-31T23:00:00Z
10,10,0,LowerPartialmulch,2021-05-31T23:00:00Z
11,11,0,LowerMulch,2021-05-31T23:00:00Z
1,1,0,Pass 1,2021-06-01T00:00:00Z
2,2,0,Pass 2,2021-06-01T00:00:00Z
3,3,0,HighUnmulch,2021-06-01T00:00:00Z
4,4,0,HighMulch,2021-06-01T00:00:00Z
5,5,0,MiddleUnmulch,2021-06-01T00:00:00Z
6,6,0,MiddlePartialMulch,2021-06-01T00:00:00Z
7,7,0,MiddleMulch,2021-06-01T00:00:00Z
8,8,0,MiddleUnburned,2021-06-01T00:00:00Z
9,9,0,LowerUnmulch,2021-06-01T00:00:00Z
10,10,0,LowerPartialmulch,2021-06-01T00:00:00Z
11,11,0,LowerMulch,2021-06-01T00:00:00Z
1,1,0,Pass 1,2021-06-01T01:00:00Z
2,2,0,Pass 2,2021-06-01T01:00:00Z
3,3,0,HighUnmulch,2021-06-01T01:00:00Z
4,4,0,HighMulch,2021-06-01T01:00:00Z
5,5,0,MiddleUnmulch,2021-06-01T01:00:00Z
6,6,0,MiddlePartialMulch,2021-06-01T01:00:00Z
7,7,0,MiddleMulch,2021-06-01T01:00:00Z
8,8,0,MiddleUnburned,2021-06-01T01:00:00Z
9,9,0,LowerUnmulch,2021-06-01T01:00:00Z
10,10,0,LowerPartialmulch,2021-06-01T01:00:00Z
11,11,0,LowerMulch,2021-06-01T01:00:00Z
1,1,0,Pass 1,2021-06-01T10:00:00Z
2,2,0,Pass 2,2021-06-01T10:00:00Z
3,3,0,HighUnmulch,2021-06-01T10:00:00Z
4,4,0,HighMulch,2021-06-01T10:00:00Z
5,5,0,MiddleUnmulch,2021-06-01T10:00:00Z
6,6,0,MiddlePartialMulch,2021-06-01T10:00:00Z
7,7,0,MiddleMulch,2021-06-01T10:00:00Z
8,8,0,MiddleUnburned,2021-06-01T10:00:00Z
9,9,0,LowerUnmulch,2021-06-01T10:00:00Z
10,10,0,LowerPartialmulch,2021-06-01T10:00:00Z
