p_mmhr,name,datetime
0,Pass 1,2022-04-30T17:00:00Z
0,Pass 2,2022-04-30T17:00:00Z
0,HighUnmulch,2022-04-30T17:00:00Z
0,HighMulch,2022-04-30T17:00:00Z
0,MiddleUnmulch,2022-04-30T17:00:00Z
0,MiddlePartialMulch,2022-04-30T17:00:00Z
0,MiddleMulch,2022-04-30T17:00:00Z
0,MiddleUnburned,2022-04-30T17:00:00Z
0,LowerUnmulch,2022-04-30T17:00:00Z
0,LowerPartialmulch,2022-04-30T17:00:00Z
0,LowerMulch,2022-04-30T17:00:00Z
0,Pass 1,2022-04-30T18:00:00Z
0,Pass 2,2022-04-30T18:00:00Z
0,HighUnmulch,2022-04-30T18:00:00Z
0,HighMulch,2022-04-30T18:00:00Z
0,MiddleUnmulch,2022-04-30T18:00:00Z
0,MiddlePartialMulch,2022-04-30T18:00:00Z
0,MiddleMulch,2022-04-30T18:00:00Z
0,MiddleUnburned,2022-04-30T18:00:00Z
0,LowerUnmulch,2022-04-30T18:00:00Z
0,LowerPartialmulch,2022-04-30T18:00:00Z
0,LowerMulch,2022-04-30T18:00:00Z
0,Pass 1,2022-04-30T19:00:00Z
0,Pass 2,2022-04-30T19:00:00Z
0,HighUnmulch,2022-04-30T19:00:00Z
0,HighMulch,2022-04-30T19:00:00Z
0,MiddleUnmulch,2022-04-30T19:00:00Z
0,MiddlePartialMulch,2022-04-30T19:00:00Z
0,MiddleMulch,2022-04-30T19:00:00Z
0,MiddleUnburned,2022-04-30T19:00:00Z
0,LowerUnmulch,2022-04-30T19:00:00Z
0,LowerPartialmulch,2022-04-30T19:00:00Z
0,LowerMulch,2022-04-30T19:00:00Z
0,Pass 1,2022-04-30T20:00:00Z
0,Pass 2,2022-04-30T20:00:00Z
0,HighUnmulch,2022-04-30T20:00:00Z
0,HighMulch,2022-04-30T20:00:00Z
0,MiddleUnmulch,2022-04-30T20:00:00Z
0,MiddlePartialMulch,2022-04-30T20:00:00Z
0,MiddleMulch,2022-04-30T20:00:00Z
0,MiddleUnburned,2022-04-30T20:00:00Z
0,LowerUnmulch,2022-04-30T20:00:00Z
0,LowerPartialmulch,2022-04-30T20:00:00Z
0,LowerMulch,2022-04-30T20:00:00Z
0,Pass 1,2022-04-30T21:00:00Z
0,Pass 2,2022-04-30T21:00:00Z
0,HighUnmulch,2022-04-30T21:00:00Z
0,HighMulch,2022-04-30T21:00:00Z
0,MiddleUnmulch,2022-04-30T21:00:00Z
0,MiddlePartialMulch,2022-04-30T21:00:00Z
0,MiddleMulch,2022-04-30T21:00:00Z
0,MiddleUnburned,2022-04-30T21:00:00Z
0,LowerUnmulch,2022-04-30T21:00:00Z
0,LowerPartialmulch,2022-04-30T21:00:00Z
0,LowerMulch,2022-04-30T21:00:00Z
0,Pass 1,2022-04-30T22:00:00Z
0,Pass 2,2022-04-30T22:00:00Z
0,HighUnmulch,2022-04-30T22:00:00Z
0,HighMulch,2022-04-30T22:00:00Z
0,MiddleUnmulch,2022-04-30T22:00:00Z
0,MiddlePartialMulch,2022-04-30T22:00:00Z
0,MiddleMulch,2022-04-30T22:00:00Z
0,MiddleUnburned,2022-04-30T22:00:00Z
0,LowerUnmulch,2022-04-30T22:00:00Z
0,LowerPartialmulch,2022-04-30T22:00:00Z
0,LowerMulch,2022-04-30T22:00:00Z
0,Pass 1,2022-04-30T23:00:00Z
0,Pass 2,2022-04-30T23:00:00Z
0,HighUnmulch,2022-04-30T23:00:00Z
0,HighMulch,2022-04-30T23:00:00Z
0,MiddleUnmulch,2022-04-30T23:00:00Z
0,MiddlePartialMulch,2022-04-30T23:00:00Z
